id,sentence,ANN-BERT-Class,ANN-BERT-Grad,ANN-SBERT-Class,ANN-SBERT-Grad,SVM-BERT-Class,SVM-BERT-Grad,SVM-SBERT-Class,SVM-SBERT-Grad,LoR-BERT-Class,LoR-BERT-Grad,LoR-SBERT-Class,LoR-SBERT-Grad,true_class
jp_374,Then  we wanted to make aliyah even faster ,anti_israel,0.38178447,neutral,0.744713,neutral,0.34019452590427857,neutral,0.8554866812520664,anti_palestine,0.9553153566302718,neutral,0.9034959935061875,pro_israel
bbc_129,an idf spokesman previously referred to the operation as  one of the most successful of the war so far  because of the intelligence gleaned  as well as numbers killed and detained ,pro_israel,0.47650385,pro_israel,0.99790657,pro_israel,0.38853851839874887,pro_israel,0.9545863500664236,anti_palestine,0.6504292919956197,pro_israel,0.9866961537302599,pro_israel
bbc_177,the idf hasnt been able to get to the top brass of the hamas leadership   says mairav zonszein  a senior analyst on israeli  palestinian affairs at the international crisis group ,pro_israel,0.580511,pro_israel,0.76927054,pro_israel,0.5739228201427959,pro_israel,0.3690111062763066,pro_israel,0.9999999753408081,neutral,0.44201836280506207,pro_israel
bbc_91,more than half of gazas 2  3 million palestinians are sheltering in the southern city  where israel says hamas leaders are hiding and hamas battalions still operate ,pro_israel,0.34031302,pro_israel,0.844751,pro_israel,0.2969108520887029,pro_palestine,0.3613191988893117,pro_israel,0.9995288618321087,pro_palestine,0.3982270327542027,pro_israel
bbc_176,the idf said a series of mistakes and miscommunications resulted in them being mistaken for hamas operatives and targeted ,pro_israel,0.95791376,pro_israel,0.98301345,anti_palestine,0.3739717359707331,pro_israel,0.5078257063098074,anti_palestine,0.9809920452433065,pro_israel,0.6935479219318651,pro_israel
jp_573,Defense Minister Benny Gantz and his predecessor Bennett could also be targeted along with individual soldiers and commanders   nbsp  5 ,pro_israel,0.8378174,pro_israel,0.49201864,pro_israel,0.4859201158593198,anti_israel,0.4891952872665001,pro_israel,0.8555259963138485,anti_israel,0.5562969892104476,pro_israel
jp_193,By June 2007 the project still had not received a substantial budget  and progressed with DDR  amp  D and Rafael R  amp  D budgets  increased by several dozens of millions of shekels from Peretz and acting director  general Yehiel Horev from the defense budget   nbsp  The Nagel Committee did not include the THEL system as a potential solution  given previous assessments casting doubt on its operational potential or relevance  and the inability to be duplicated ,pro_israel,0.90959054,neutral,0.5201225,pro_israel,0.518637156210232,pro_israel,0.5039841687924819,pro_israel,0.9999999999869349,pro_israel,0.5400282343690628,pro_israel
bbc_448,he said his university strove to prevent using law enforcement to make arrests on campus x0080x009cunless it is absolutely necessary to protect the physical safety of the communityx0080x009d ,anti_palestine,0.44778523,pro_israel,0.64509463,pro_palestine,0.3002298557511374,pro_palestine,0.4572449463882156,anti_palestine,0.9850883647272032,pro_palestine,0.46343354701764183,pro_israel
jp_285,initial intention was to stop the cycle of bloody violence between the PLO and the IDF in northern Israel and southern Lebanon  which began in March 1978   nbsp   nbsp  However  the First Lebanon War broke out four years later in 1982  and Israel remained entrenched in southern Lebanon for the following 18 years ,anti_israel,0.48004445,anti_israel,0.7298209,pro_israel,0.3517867819444283,pro_israel,0.5690007889939679,pro_israel,0.7718340507794907,pro_israel,0.5803853183098913,pro_israel
jp_328,The question is whether Israel will listen   nbsp  Israel  rsquo  s relatively cold official relations with Jordan and Egypt  combined with good security relations that largely go unnoticed  are the opposite of the positive ties and human  to  human connections with the Gulf that saw Israelis flock to the region to take part in conferences and discuss business deals   nbsp  However  voices in the UAE cautioned Israel about expecting too much and moving too fast ,pro_palestine,0.62125313,anti_israel,0.33891326,pro_israel,0.69031375429044,pro_israel,0.9427088927056382,pro_israel,0.9993298755376294,pro_israel,0.6813870944083693,pro_israel
bbc_147,the three britons  all former servicemen  were acting as part of a wck security team  working for poole  based risk management company solace global  ,pro_israel,0.7290309,pro_israel,0.85096836,pro_israel,0.6073016981687348,pro_israel,0.777644428772047,pro_israel,0.9987966174929221,pro_israel,0.9491239638366167,pro_israel
bbc_246,two of them were reportedly airlifted to safety after being swept 600m  1  970ft  from the bus ,anti_israel,0.3640811,pro_israel,0.31060478,anti_israel,0.3464128758388446,anti_palestine,0.43085964986847997,neutral,0.9947372636795069,anti_palestine,0.575543702035795,pro_israel
jp_329,The wave of airstrikes began after the security cabinet authorized a  quot  significant airstrikes  quot  in the Gaza Strip ,anti_palestine,0.91662145,pro_israel,0.7863825,anti_palestine,0.4358750098897916,anti_palestine,0.5677393082868377,anti_palestine,0.977940904226816,anti_palestine,0.7182444484472309,pro_israel
jp_253,This would not truly address all of the IDF service inequalities that have angered the public for decades  but it would at least show the majority of the population that the haredim were ready to contribute to the national destiny in a physical and quantifiable way ,pro_israel,0.9843056,pro_israel,0.99652797,pro_israel,0.578242433213822,pro_israel,0.9138586886912572,pro_israel,0.9999999999985589,pro_israel,0.9792869236822531,pro_israel
nyt_537,she told me that her little sister  two  year  old elene  who is actually the youngest person sheltering with them  was hungry all the time ,neutral,0.92898744,neutral,0.8386141,pro_palestine,0.35512472630097586,neutral,0.6140135123011755,pro_palestine,0.9294160317108912,neutral,0.7046594029495237,pro_israel
bbc_79,the global body responsible for declaring famine  the integrated food security phase classification  ipc   reported this monday that 1  1 million people  virtually half the population of gaza  was already starving and the rest of the people there could be in a famine by july ,anti_palestine,0.33010393,anti_palestine,0.5599379,pro_israel,0.8400030018695882,neutral,0.41727920160758014,pro_israel,0.9999999834643198,pro_israel,0.5358114749430435,pro_israel
bbc_448,on wednesday  the police chief at ucla was temporarily removed and reassigned x0080x009cpending an examination of our security processesx0080x009d  the university said ,pro_israel,0.44943413,pro_israel,0.8272886,anti_palestine,0.3761276394906624,anti_israel,0.3101038299630913,anti_palestine,0.9994466257634701,anti_israel,0.6349380082551389,pro_israel
bbc_166,it also said that when arrows were used to direct people to safety   it is obvious that the arrows point to a general direction  and reiterated that the key information had been provided in the text ,anti_israel,0.49396136,neutral,0.8627013,neutral,0.27670063003049056,anti_palestine,0.28176384631467616,pro_israel,0.4623971319551091,pro_israel,0.31578971564480013,pro_israel
jp_383,Eliezer Shkedi  with the goal of examining the possibility of integrating and raising the number of ultra  Orthodox recruits to the IDF ,pro_israel,0.9427984,pro_israel,0.937761,pro_israel,0.5081057255181054,pro_israel,0.5958194351654102,neutral,0.5893842746949047,pro_israel,0.7587181978910497,pro_israel
bbc_504,the idf also said on wednesday that troops were continuing  targeted operations  in rafah ,pro_israel,0.73617536,anti_palestine,0.5927227,pro_israel,0.5480042219833322,pro_israel,0.7582897093488012,pro_israel,0.9917721140492013,pro_israel,0.579166201282651,pro_israel
bbc_511,the mattress protected me because i was sitting against the wall ,pro_israel,0.41189042,pro_israel,0.9587982,neutral,0.33913864607932265,neutral,0.4409181170820961,pro_israel,0.8161583333345207,anti_palestine,0.3208336124608505,pro_israel
jp_30,Present at the moving ceremony at the President  rsquo  s Residence in Jerusalem where the final letter was written  was the Beilin family from Sderot  whose mother Zina Beilin was among the first victims murdered in Sderot by Hamas terrorists on the morning of October 7 ,pro_palestine,0.4847129,pro_israel,0.8655111,pro_palestine,0.4188203814638534,neutral,0.566610059381653,pro_israel,0.8107186416678527,neutral,0.4414877977904931,pro_israel
